datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery,battery_discharge,battery_charge_from_solar,battery_charge_from_grid,energy_price,solar_purchase_price,solar_export_price
2020-03-17 00:00:00,-1000.0,-0.0,2168.0,1168.0,0.0,1168.0,0.0,0.0,0.0,0.0,-0.0,-1000.0,0.2529,0.41,0.39
2020-03-17 01:00:00,-1000.0,920.0,2122.0,1122.0,0.0,1122.0,0.0,0.0,0.0,0.0,-0.0,-1000.0,0.2529,0.41,0.39
2020-03-17 02:00:00,-173.91304347826076,1840.0,1283.9130434782608,1110.0,0.0,1110.0,0.0,0.0,0.0,0.0,-0.0,-173.91304347826076,0.2529,0.41,0.39
2020-03-17 03:00:00,-0.0,2000.0,976.0,976.0,0.0,976.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-03-17 04:00:00,-0.0,2000.0,1148.0,1148.0,0.0,1148.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-03-17 05:00:00,-0.0,2000.0,1098.0,1098.0,0.0,1098.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-03-17 06:00:00,-0.0,2000.0,1344.0,1344.0,0.0,1344.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-03-17 07:00:00,-0.0,2000.0,1660.0,1899.0,239.0,1660.0,239.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-03-17 08:00:00,1000.0,2000.0,32.0,2022.0,990.0,1032.0,990.0,0.0,0.0,1000.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 09:00:00,368.0,913.0434782608695,0.0,2014.0,1646.0,368.0,1646.0,0.0,0.0,368.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 10:00:00,471.99999999999994,513.0434782608695,832.0,3564.0,2260.0,1304.0,2260.0,0.0,0.0,471.99999999999994,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 11:00:00,-324.0,-0.0,0.0,1745.0,2069.0,0.0,1745.0,0.0,324.0,0.0,-324.0,0.0,1.0207,0.41,0.39
2020-03-17 12:00:00,-1000.0,298.08000000000004,42.0,1851.0,2809.0,0.0,1851.0,0.0,958.0,0.0,-958.0,-42.0,0.5968,0.41,0.39
2020-03-17 13:00:00,-849.913043478261,1218.08,0.0,1502.0,2676.0,0.0,1502.0,324.086956521739,849.913043478261,0.0,-849.913043478261,0.0,0.5968,0.41,0.39
2020-03-17 14:00:00,-0.0,2000.0,0.0,1698.0,2416.0,0.0,1698.0,718.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-03-17 15:00:00,-0.0,2000.0,128.0,2271.0,2143.0,128.0,2143.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-03-17 16:00:00,-0.0,2000.0,454.0,1753.0,1299.0,454.0,1299.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-03-17 17:00:00,922.0,2000.0,0.0,1396.0,474.0,922.0,474.0,0.0,0.0,922.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 18:00:00,918.0,997.8260869565217,310.0,1242.0,14.0,1228.0,14.0,0.0,0.0,918.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 19:00:00,0.0,-0.0,1254.0,1254.0,0.0,1254.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 20:00:00,0.0,-0.0,1184.0,1184.0,0.0,1184.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0207,0.41,0.39
2020-03-17 21:00:00,0.0,-0.0,1052.0,1052.0,0.0,1052.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-03-17 22:00:00,0.0,-0.0,1114.0,1114.0,0.0,1114.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-03-17 23:00:00,0.0,-0.0,1268.0,1268.0,0.0,1268.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
